,crime_type,date,address
103,Burglary,2018-03-05 00:00:00,390-392 METROPOLITAN AVE
104,Burglary,2018-03-05 00:00:00,200 BLOCK OF LEWIS AVE
105,Burglary,2018-03-05 00:00:00,
106,Burglary,2018-03-05 00:00:00,
107,Burglary,2018-03-04 00:00:00,2990-2998 BROADWAY
108,Burglary,2018-03-04 00:00:00,500 BLOCK OF COMMONWEALTH AVE
109,Burglary,2018-03-04 00:00:00,
110,Burglary,2018-03-04 00:00:00,33-2 31ST AVE
111,Burglary,2018-03-04 00:00:00,STANTON ST
112,Burglary,2018-03-04 00:00:00,145-1 178TH PL
113,Burglary,2018-03-04 00:00:00,900 BLOCK OF MONTGOMERY ST
114,Burglary,2018-03-04 00:00:00,1000 BLOCK OF W FINGERBOARD RD
115,Burglary,2018-03-04 00:00:00,100 BLOCK OF STUYVESANT PL
116,Burglary,2018-03-04 00:00:00,
117,Burglary,2018-03-04 00:00:00,
118,Burglary,2018-03-04 00:00:00,00 BLOCK OF SEAMAN AVE
119,Burglary,2018-03-04 00:00:00,
120,Burglary,2018-03-04 00:00:00,
121,Burglary,2018-03-04 00:00:00,2-20 ST PAULS CT
122,Burglary,2018-03-04 00:00:00,00 BLOCK OF BRIDGE PARK DRIVE
123,Burglary,2018-03-04 00:00:00,33-2 31ST AVE
124,Burglary,2018-03-04 00:00:00,33-2 31ST AVE
125,Burglary,2018-03-04 00:00:00,400 BLOCK OF W 30TH ST
126,Burglary,2018-03-04 00:00:00,200 BLOCK OF BUSHWICK AVE
127,Burglary,2018-03-04 00:00:00,
128,Burglary,2018-03-04 00:00:00,300 BLOCK OF CENTRAL AVE
129,Burglary,2018-03-04 00:00:00,2000 BLOCK OF W 8TH ST
130,Burglary,2018-03-04 00:00:00,600 BLOCK OF ARGYLE RD
131,Burglary,2018-03-04 00:00:00,
132,Burglary,2018-03-04 00:00:00,100 BLOCK OF E 14TH ST
133,Burglary,2018-03-04 00:00:00,400 BLOCK OF THROOP AVE
134,Burglary,2018-03-04 00:00:00,
135,Burglary,2018-03-04 00:00:00,500 BLOCK OF VAN BUREN ST
136,Burglary,2018-03-03 00:00:00,700 BLOCK OF OLMSTEAD AVE
137,Burglary,2018-03-03 00:00:00,
138,Burglary,2018-03-03 00:00:00,
139,Burglary,2018-03-03 00:00:00,6000 BLOCK OF MYRTLE AVE
140,Burglary,2018-03-03 00:00:00,541-549 VANDERBILT AVE
141,Burglary,2018-03-03 00:00:00,1600 BLOCK OF AVENUE U
142,Burglary,2018-03-03 00:00:00,400 BLOCK OF E 164TH ST
143,Burglary,2018-03-03 00:00:00,896A LAFAYETTE AVE
144,Burglary,2018-03-03 00:00:00,2501-2515 E 27TH ST
145,Burglary,2018-03-03 00:00:00,300 BLOCK OF BRITTON AVE
146,Burglary,2018-03-03 00:00:00,600 BLOCK OF 58TH ST
147,Burglary,2018-03-03 00:00:00,100 BLOCK OF E 169TH ST
148,Burglary,2018-03-03 00:00:00,
149,Burglary,2018-03-03 00:00:00,
150,Burglary,2018-03-03 00:00:00,2350-2398 BATH AVE
151,Burglary,2018-03-03 00:00:00,
152,Burglary,2018-03-03 00:00:00,
153,Burglary,2018-03-03 00:00:00,
154,Burglary,2018-03-03 00:00:00,270-4 81ST AVE
155,Burglary,2018-03-03 00:00:00,00 BLOCK OF GREENWICH AVE
156,Burglary,2018-03-03 00:00:00,
157,Burglary,2018-03-03 00:00:00,1001-1003 43RD ST
158,Burglary,2018-03-03 00:00:00,800 BLOCK OF 9TH AVE
159,Burglary,2018-03-03 00:00:00,31-90 33RD ST
160,Burglary,2018-03-03 00:00:00,1900 BLOCK OF ADAM CLAYTON POWELL JR BLVD
161,Burglary,2018-03-03 00:00:00,279-299 W 22ND ST
162,Burglary,2018-03-03 00:00:00,51-55 SIMONSON ST
163,Burglary,2018-03-03 00:00:00,200 BLOCK OF AINSLIE ST
164,Burglary,2018-03-02 00:00:00,100 BLOCK OF W 21ST ST
165,Burglary,2018-03-02 00:00:00,
166,Burglary,2018-03-02 00:00:00,22-1 42ND ST
167,Burglary,2018-03-02 00:00:00,22-1 42ND ST
168,Burglary,2018-03-02 00:00:00,400 BLOCK OF WILSON AVE
169,Burglary,2018-03-02 00:00:00,253-255 LEXINGTON AVE
170,Burglary,2018-03-02 00:00:00,00 BLOCK OF MESEROLE ST
171,Burglary,2018-03-02 00:00:00,400 BLOCK OF E 176TH ST
172,Burglary,2018-03-02 00:00:00,800 BLOCK OF 9TH AVE
173,Burglary,2018-03-02 00:00:00,300 BLOCK OF E 67TH ST
174,Burglary,2018-03-02 00:00:00,100 BLOCK OF W 39TH ST
175,Burglary,2018-03-02 00:00:00,191-99 46TH AVE
176,Burglary,2018-03-02 00:00:00,
177,Burglary,2018-03-02 00:00:00,42-98 157TH ST
178,Burglary,2018-03-02 00:00:00,253-255 LEXINGTON AVE
179,Burglary,2018-03-02 00:00:00,100 BLOCK OF W 16TH ST
180,Burglary,2018-03-02 00:00:00,
181,Burglary,2018-03-02 00:00:00,200 BLOCK OF ONDERDONK AVE
182,Burglary,2018-03-02 00:00:00,
183,Burglary,2018-03-02 00:00:00,500 BLOCK OF ACADEMY ST
184,Burglary,2018-03-02 00:00:00,227-98 116TH AVE
185,Burglary,2018-03-02 00:00:00,3100-3104 FARRAGUT RD
186,Burglary,2018-03-02 00:00:00,700 BLOCK OF E 185TH ST
187,Burglary,2018-03-02 00:00:00,8500 BLOCK OF 16TH AVE
188,Burglary,2018-03-02 00:00:00,
189,Burglary,2018-03-02 00:00:00,
190,Burglary,2018-03-02 00:00:00,
191,Burglary,2018-03-02 00:00:00,300 BLOCK OF E 81ST ST
192,Burglary,2018-03-02 00:00:00,300 BLOCK OF W 109TH ST
193,Burglary,2018-03-02 00:00:00,72-98 71ST PL
