,crime_type,date,address,Latitude,Longitude
3640,Robbery,2019-03-08 0:00:00,ST. ANN'S AV/E 146 ST,40.812328,-73.9140515
3641,Robbery,2019-03-08 0:00:00,400 BLOCK OF E 120TH ST,33.9233762,-118.2673943
3642,Robbery,2019-03-08 0:00:00,2300 BLOCK OF 86TH ST,39.9129317,-86.2005506
3643,Robbery,2019-03-08 0:00:00,2100 BLOCK OF JEROME AVE,40.8549363,-73.9059453
3644,Robbery,2019-03-08 0:00:00,103-02 PLATTWOOD AVE,40.6781371,-73.8356512
3645,Robbery,2019-03-08 0:00:00,5200 BLOCK OF AVENUE M,40.621477,-73.9251885
3646,Robbery,2019-03-08 0:00:00,44TH ST,36.101753,-95.940117
3647,Robbery,2019-03-08 0:00:00,2400 BLOCK OF WESTCHESTER AVE,40.8367037,-73.8462023
3648,Robbery,2019-03-08 0:00:00,2700 BLOCK OF MARION AVE,40.865417,-73.8894394
3649,Robbery,2019-03-08 0:00:00,100 BLOCK OF 7TH AVE,,
3650,Robbery,2019-03-08 0:00:00,800 BLOCK OF MADISON AVE,,
3651,Robbery,2019-03-08 0:00:00,8800 BLOCK OF 150TH ST,,
3652,Robbery,2019-03-08 0:00:00,MYRTLE AV/THROOP AV,40.696365,-73.943558
3653,Robbery,2019-03-08 0:00:00,PARSONS BLVD/71 AV,40.7303062,-73.8108351
3654,Robbery,2019-03-08 0:00:00,192-19 JAMAICA AVE,40.7132479,-73.7674871
3655,Robbery,2019-03-08 0:00:00,1900 BLOCK OF ADAM CLAYTON POWELL JR BLVD,40.8027286,-73.9533364
3656,Robbery,2019-03-08 0:00:00,300 BLOCK OF BOWERY,40.725257,-73.9903489
3657,Robbery,2019-03-08 0:00:00,W 125 ST/ADAM C POWELL BL,40.809181,-73.94838
3658,Robbery,2019-03-08 0:00:00,2067-2087 LEXINGTON AVE,40.804414,-73.937408
3659,Robbery,2019-03-08 0:00:00,300 BLOCK OF E 204TH ST,40.8728379,-73.8788209
3660,Robbery,2019-03-07 0:00:00,1700 BLOCK OF AMSTERDAM AVE,40.8247358,-73.9481778
3661,Robbery,2019-03-07 0:00:00,1300 BLOCK OF GARRISON AVE,40.821027,-73.8872413
3662,Robbery,2019-03-07 0:00:00,800 BLOCK OF COLUMBUS AVE,,
3663,Robbery,2019-03-07 0:00:00,00 BLOCK OF AV/ST MARKS PL,40.7285977,-73.9876718
3664,Robbery,2019-03-07 0:00:00,MC CLEAN AV/MILLS AV,40.597233,-74.0688895
3665,Robbery,2019-03-07 0:00:00,800 BLOCK OF NEW JERSEY AVE,38.880241,-77.005152
3666,Robbery,2019-03-07 0:00:00,300 BLOCK OF 9TH AVE,,
3667,Robbery,2019-03-07 0:00:00,400 BLOCK OF BROADWAY,,
3668,Robbery,2019-03-07 0:00:00,E E 188TH ST,40.7400675,-73.7866969
3669,Robbery,2019-03-07 0:00:00,100 BLOCK OF 5TH AVE,40.7369633,-73.993169
3670,Robbery,2019-03-07 0:00:00,00 BLOCK OF AV/SUTPHIN BL,,
3671,Robbery,2019-03-07 0:00:00,200-21 HOLLIS AVE,40.706415,-73.756878
3672,Robbery,2019-03-07 0:00:00,500 BLOCK OF W 176TH ST,40.8448229,-73.9337302
3673,Robbery,2019-03-07 0:00:00,900 BLOCK OF E 181ST ST,40.8456031,-73.881871
3674,Robbery,2019-03-07 0:00:00,900 BLOCK OF BROADWAY,,
3675,Robbery,2019-03-07 0:00:00,300 BLOCK OF HOOPER ST,40.7067148,-73.9539861
3676,Robbery,2019-03-07 0:00:00,2000 BLOCK OF LEXINGTON AVE,40.802434,-73.9390824
3677,Robbery,2019-03-07 0:00:00,100 BLOCK OF AV/84 ST,,
3678,Robbery,2019-03-07 0:00:00,1900 BLOCK OF 168TH ST,,
3679,Robbery,2019-03-06 0:00:00,E 14 ST/AV A,40.7304265,-73.980365
3680,Robbery,2019-03-06 0:00:00,1300 BLOCK OF E 233RD ST,40.8885173,-73.8410259
3681,Robbery,2019-03-06 0:00:00,1300 BLOCK OF E 233RD ST,40.8885173,-73.8410259
3682,Robbery,2019-03-06 0:00:00,CASTLETON AV/HAVEN ESPLANADE,40.633293,-74.091972
3683,Robbery,2019-03-06 0:00:00,3600 BLOCK OF BROADWAY,,
3684,Robbery,2019-03-06 0:00:00,E BURNSIDE AV/MORRIS AV,40.8531475,-73.905621
3685,Robbery,2019-03-06 0:00:00,E GUN HILL RD/BRONXWOOD AV,40.8755256,-73.8605856
3686,Robbery,2019-03-06 0:00:00,100 BLOCK OF WAVERLY PL,28.5285564,-81.3755358
3687,Robbery,2019-03-06 0:00:00,100 BLOCK OF E 47TH ST,41.8094485,-87.6225793
3688,Robbery,2019-03-06 0:00:00,E 14 ST/AV A,40.7304265,-73.980365
3689,Robbery,2019-03-06 0:00:00,200 BLOCK OF MARCUS GARVEY BLVD,40.6912372,-73.9398767
3690,Robbery,2019-03-06 0:00:00,1600 BLOCK OF FORT GEORGE HILL,40.8571527,-73.9282559
