,crime_type,date,address,Latitude,Longitude
6098,Robbery,2020-03-08 0:00:00,AV H / UTICA AV,40.632943,-73.9281553
6099,Robbery,2020-03-08 0:00:00,200 BLOCK OF WILD AVE,40.5891372,-74.1891729
6100,Robbery,2020-03-08 0:00:00,1661A LAFAYETTE AVE,34.964885,-85.2604174
6101,Robbery,2020-03-08 0:00:00,4400 BLOCK OF 4TH AVE,,
6102,Robbery,2020-03-08 0:00:00,43-1 76TH ST,25.8613064,-80.1203299
6103,Robbery,2020-03-08 0:00:00,W 34 ST & 00 BLOCK OF AV,40.7527048,-73.9946703
6104,Robbery,2020-03-08 0:00:00,6200 BLOCK OF 14TH AVE,,
6105,Robbery,2020-03-08 0:00:00,1661A LAFAYETTE AVE,34.964885,-85.2604174
6106,Robbery,2020-03-08 0:00:00,1661A LAFAYETTE AVE,34.964885,-85.2604174
6107,Robbery,2020-03-08 0:00:00,BEACH 20 ST/CORNAGA AV,40.6022681,-73.7533525
6108,Robbery,2020-03-08 0:00:00,RICHMOND AV/VEDDER AV,40.62262,-74.149612
6109,Robbery,2020-03-08 0:00:00,100 BLOCK OF CENTRAL AVE,27.3376298,-82.5424398
6110,Robbery,2020-03-08 0:00:00,160-15 JAMAICA AVE,40.7040644,-73.798717
6111,Robbery,2020-03-08 0:00:00,00 BLOCK OF AV/W 42 ST,,
6112,Robbery,2020-03-08 0:00:00,4400 BLOCK OF 4TH AVE,,
6113,Robbery,2020-03-08 0:00:00,800 BLOCK OF 40TH ST,,
6114,Robbery,2020-03-08 0:00:00,AV OF THE AMERICAS/SPRING ST,40.7254485,-74.0039295
6115,Robbery,2020-03-08 0:00:00,00 BLOCK OF E 126TH ST,40.8047954,-73.9363171
6116,Robbery,2020-03-08 0:00:00,1700 BLOCK OF W FARMS RD,40.1809745,-74.2673992
6117,Robbery,2020-03-08 0:00:00,900 BLOCK OF BRONX PARK S,40.8462013,-73.8808776
6118,Robbery,2020-03-08 0:00:00,1000 BLOCK OF E 179TH ST,40.8419676,-73.8799211
6119,Robbery,2020-03-08 0:00:00,2100 BLOCK OF MOHEGAN AVE,40.8455304,-73.883455
6120,Robbery,2020-03-08 0:00:00,600 BLOCK OF W 131ST ST,40.8176018,-73.9570893
6121,Robbery,2020-03-08 0:00:00,VERNON BLVD/40 AV,40.757713,-73.945831
6122,Robbery,2020-03-08 0:00:00,BARTOW AV/CO-OP CITY BLVD,40.869413,-73.8260686
6123,Robbery,2020-03-08 0:00:00,OGDEN AV/W 166 ST,40.835596,-73.927887
6124,Robbery,2020-03-08 0:00:00,1300 BLOCK OF VIRGINIA AVE,33.659036,-84.4314807
6125,Robbery,2020-03-08 0:00:00,1100 BLOCK OF FOX ST,40.0108823,-75.1749417
6126,Robbery,2020-03-08 0:00:00,100 BLOCK OF E FORDHAM RD,40.8618752,-73.8995148
6127,Robbery,2020-03-08 0:00:00,00 BLOCK OF ST-BLISS ST STATION,40.7430692,-73.9182376
6128,Robbery,2020-03-08 0:00:00,2800 BLOCK OF ATLANTIC AVE,29.2661252,-81.0270497
6129,Robbery,2020-03-08 0:00:00,100 BLOCK OF ALBANY AVE,40.677273,-73.938941
6130,Robbery,2020-03-08 0:00:00,2200 BLOCK OF MORRIS AVE,40.8561775,-73.9028593
6131,Robbery,2020-03-08 0:00:00,1638A ST NICHOLAS AVE,40.8560386,-73.9286368
