,crime_type,date,address,Latitude,Longitude
4782,Burglary,2020-03-08 0:00:00,400 BLOCK OF W 15TH ST,40.7417133,-74.0053162
4783,Burglary,2020-03-08 0:00:00,00 BLOCK OF DAVIT CT,41.6032207,-73.087749
4784,Burglary,2020-03-08 0:00:00,ST JOHNS PL/TROY AV,40.6709133,-73.9364949
4785,Burglary,2020-03-08 0:00:00,11-25 IRVING AVE,40.6924719,-73.9026452
4786,Burglary,2020-03-08 0:00:00,WESTCHESTER AV/ COLGATE AV,40.8283,-73.881775
4787,Burglary,2020-03-08 0:00:00,1400 BLOCK OF BRUCKNER BLVD,40.8225576,-73.8835862
4788,Burglary,2020-03-08 0:00:00,200 BLOCK OF E MOSHOLU PKWY S,40.8738387,-73.8837759
4789,Burglary,2020-03-08 0:00:00,50-02 228TH ST,40.75638,-73.754228
4790,Burglary,2020-03-08 0:00:00,400 BLOCK OF LENOX AVE,40.8106385,-73.9429135
4791,Burglary,2020-03-08 0:00:00,200 BLOCK OF SURF DR,39.9115007,-74.0827774
4792,Burglary,2020-03-08 0:00:00,260-20 83RD AVE,40.739067,-73.708164
4793,Burglary,2020-03-08 0:00:00,00 BLOCK OF S ELLIOTT PL,40.6867708,-73.9754788
4794,Burglary,2020-03-08 0:00:00,900 BLOCK OF E 40TH ST,39.8286883,-86.1423922
4795,Burglary,2020-03-08 0:00:00,400 BLOCK OF NEW LOTS AVE,40.661877,-73.8925325
4796,Burglary,2020-03-08 0:00:00,SHAKESPEARE AV/W 169 ST,40.839535,-73.922455
4797,Burglary,2020-03-08 0:00:00,00 BLOCK OF HOYT AVE N,44.9883237,-93.1425504
4798,Burglary,2020-03-08 0:00:00,BELL BL/16 AV,40.78545,-73.7786905
4799,Burglary,2020-03-08 0:00:00,11-25 IRVING AVE,40.6924719,-73.9026452
4800,Burglary,2020-03-08 0:00:00,1400 BLOCK OF BRUCKNER BLVD,40.8225576,-73.8835862
4801,Burglary,2020-03-08 0:00:00,800 BLOCK OF UNION AVE,39.3337873,-76.6301133
4802,Burglary,2020-03-08 0:00:00,245-21 FRANCIS LEWIS BLVD,40.6645735,-73.7343745
4803,Burglary,2020-03-08 0:00:00,WESTCHESTER AV/ COLGATE AV,40.8283,-73.881775
4804,Burglary,2020-03-08 0:00:00,212-15 56TH AVE,40.7504493,-73.7660974
4805,Burglary,2020-03-08 0:00:00,200 BLOCK OF SMITH ST,39.9653459,-76.7347724
4806,Burglary,2020-03-08 0:00:00,600 BLOCK OF 65TH ST,,
4807,Burglary,2020-03-08 0:00:00,400 BLOCK OF W 15TH ST,40.7417133,-74.0053162
4808,Burglary,2020-03-08 0:00:00,FREEMAN ST,40.8301745,-73.8917088
4809,Burglary,2020-03-08 0:00:00,24-18 160TH ST,40.775767,-73.804039
4810,Burglary,2020-03-08 0:00:00,3000 BLOCK OF 3RD AVE,,
4811,Burglary,2020-03-08 0:00:00,200 BLOCK OF BERRY ST,32.7058029,-97.3255142
4812,Burglary,2020-03-08 0:00:00,200 BLOCK OF 5TH AVE,40.7419978,-73.989942
4813,Burglary,2020-03-07 0:00:00,300 BLOCK OF AVENUE X,40.5901385,-73.9716322
4814,Burglary,2020-03-07 0:00:00,80-68 232ND ST,40.735313,-73.739059
4815,Burglary,2020-03-07 0:00:00,00 BLOCK OF BEDFORD ST,42.3530752,-71.0582924
4816,Burglary,2020-03-07 0:00:00,1000 BLOCK OF SUTTER AVE,40.6710216,-73.8815135
4817,Burglary,2020-03-07 0:00:00,97-03 221ST ST,40.7175439,-73.732182
