,crime_type,date,address,Latitude,Longitude
84,Burglary,2018-03-05 0:00:00,,,
85,Burglary,2018-03-05 0:00:00,,,
86,Burglary,2018-03-05 0:00:00,700 BLOCK OF JEFFERSON AVE,36.9690865,-76.4121999
87,Burglary,2018-03-05 0:00:00,200 BLOCK OF CHAUNCEY ST,40.6804558,-73.9260002
88,Burglary,2018-03-05 0:00:00,,,
89,Burglary,2018-03-05 0:00:00,131-80 39TH AVE,29.6892436,-82.4806489
90,Burglary,2018-03-05 0:00:00,700 BLOCK OF E 144TH ST,41.633696,-87.6048869
91,Burglary,2018-03-05 0:00:00,100 BLOCK OF W 119TH ST,40.8040587,-73.9487622
92,Burglary,2018-03-05 0:00:00,200 BLOCK OF E 3RD ST,40.7226894,-73.9833023
93,Burglary,2018-03-05 0:00:00,1400 BLOCK OF ATLANTIC AVE,36.842905,-75.9739354
94,Burglary,2018-03-05 0:00:00,00 BLOCK OF PIERREPONT ST,40.695463,-73.993978
95,Burglary,2018-03-05 0:00:00,9680-9720 KINGS HWY,40.6616481,-73.919591
96,Burglary,2018-03-05 0:00:00,2900 BLOCK OF BRIGHTON 3RD ST,40.580745,-73.9655504
97,Burglary,2018-03-05 0:00:00,,,
98,Burglary,2018-03-05 0:00:00,,,
99,Burglary,2018-03-05 0:00:00,1200 BLOCK OF TAYLOR AVE,47.6299599,-122.345951
100,Burglary,2018-03-05 0:00:00,,,
101,Burglary,2018-03-05 0:00:00,3000 BLOCK OF WALLACE AVE,39.8124799,-86.0886782
102,Burglary,2018-03-05 0:00:00,2000 BLOCK OF 5TH AVE,41.8678583,-87.838667
103,Burglary,2018-03-05 0:00:00,390-392 METROPOLITAN AVE,40.7139001,-73.9553842
104,Burglary,2018-03-05 0:00:00,200 BLOCK OF LEWIS AVE,41.8191607,-83.5698882
105,Burglary,2018-03-05 0:00:00,,,
106,Burglary,2018-03-05 0:00:00,,,
107,Burglary,2018-03-04 0:00:00,2990-2998 BROADWAY,40.809114,-73.9626768
108,Burglary,2018-03-04 0:00:00,500 BLOCK OF COMMONWEALTH AVE,42.348516,-71.0953716
109,Burglary,2018-03-04 0:00:00,,,
110,Burglary,2018-03-04 0:00:00,33-2 31ST AVE,40.7634088,-73.9218371
111,Burglary,2018-03-04 0:00:00,STANTON ST,40.7209979,-73.9869493
112,Burglary,2018-03-04 0:00:00,145-1 178TH PL,,
113,Burglary,2018-03-04 0:00:00,900 BLOCK OF MONTGOMERY ST,40.664253,-73.9351049
114,Burglary,2018-03-04 0:00:00,1000 BLOCK OF W FINGERBOARD RD,40.6009333,-74.0894037
115,Burglary,2018-03-04 0:00:00,100 BLOCK OF STUYVESANT PL,40.6436753,-74.0776629
116,Burglary,2018-03-04 0:00:00,,,
117,Burglary,2018-03-04 0:00:00,,,
118,Burglary,2018-03-04 0:00:00,00 BLOCK OF SEAMAN AVE,40.8690033,-73.9225823
119,Burglary,2018-03-04 0:00:00,,,
120,Burglary,2018-03-04 0:00:00,,,
121,Burglary,2018-03-04 0:00:00,2-20 ST PAULS CT,40.6507115,-73.9626013
122,Burglary,2018-03-04 0:00:00,00 BLOCK OF BRIDGE PARK DRIVE,40.6924525,-74.0002083
123,Burglary,2018-03-04 0:00:00,33-2 31ST AVE,40.7634088,-73.9218371
124,Burglary,2018-03-04 0:00:00,33-2 31ST AVE,40.7634088,-73.9218371
125,Burglary,2018-03-04 0:00:00,400 BLOCK OF W 30TH ST,32.198808,-110.974747
126,Burglary,2018-03-04 0:00:00,200 BLOCK OF BUSHWICK AVE,40.7089567,-73.9402749
127,Burglary,2018-03-04 0:00:00,,,
128,Burglary,2018-03-04 0:00:00,300 BLOCK OF CENTRAL AVE,34.515748,-93.0534642
129,Burglary,2018-03-04 0:00:00,2000 BLOCK OF W 8TH ST,,
130,Burglary,2018-03-04 0:00:00,600 BLOCK OF ARGYLE RD,32.4342919,-93.7673592
131,Burglary,2018-03-04 0:00:00,,,
132,Burglary,2018-03-04 0:00:00,100 BLOCK OF E 14TH ST,41.8645195,-87.6238055
133,Burglary,2018-03-04 0:00:00,400 BLOCK OF THROOP AVE,40.6904693,-73.9425908
134,Burglary,2018-03-04 0:00:00,,,
135,Burglary,2018-03-04 0:00:00,500 BLOCK OF VAN BUREN ST,40.6915505,-73.9286102
136,Burglary,2018-03-03 0:00:00,700 BLOCK OF OLMSTEAD AVE,40.8207295,-73.851583
137,Burglary,2018-03-03 0:00:00,,,
138,Burglary,2018-03-03 0:00:00,,,
139,Burglary,2018-03-03 0:00:00,6000 BLOCK OF MYRTLE AVE,33.8638535,-118.1817709
140,Burglary,2018-03-03 0:00:00,541-549 VANDERBILT AVE,40.6818474,-73.9675652
141,Burglary,2018-03-03 0:00:00,1600 BLOCK OF AVENUE U,40.5989314,-73.9554662
142,Burglary,2018-03-03 0:00:00,400 BLOCK OF E 164TH ST,40.8264158,-73.9117686
143,Burglary,2018-03-03 0:00:00,896A LAFAYETTE AVE,40.691346,-73.93656
144,Burglary,2018-03-03 0:00:00,2501-2515 E 27TH ST,45.6406891,-122.6515871
145,Burglary,2018-03-03 0:00:00,300 BLOCK OF BRITTON AVE,39.1522374,-84.3792377
146,Burglary,2018-03-03 0:00:00,600 BLOCK OF 58TH ST,41.5782212,-93.7871481
147,Burglary,2018-03-03 0:00:00,100 BLOCK OF E 169TH ST,40.8371605,-73.9178443
148,Burglary,2018-03-03 0:00:00,,,
149,Burglary,2018-03-03 0:00:00,,,
150,Burglary,2018-03-03 0:00:00,2350-2398 BATH AVE,40.59614,-73.9938309
151,Burglary,2018-03-03 0:00:00,,,
152,Burglary,2018-03-03 0:00:00,,,
153,Burglary,2018-03-03 0:00:00,,,
154,Burglary,2018-03-03 0:00:00,270-4 81ST AVE,40.7448641,-73.7009542
155,Burglary,2018-03-03 0:00:00,00 BLOCK OF GREENWICH AVE,41.0261143,-73.6258779
156,Burglary,2018-03-03 0:00:00,,,
157,Burglary,2018-03-03 0:00:00,1001-1003 43RD ST,41.8166703,-87.6016462
158,Burglary,2018-03-03 0:00:00,800 BLOCK OF 9TH AVE,,
159,Burglary,2018-03-03 0:00:00,31-90 33RD ST,40.7615987,-73.9238152
160,Burglary,2018-03-03 0:00:00,1900 BLOCK OF ADAM CLAYTON POWELL JR BLVD,40.8027286,-73.9533364
161,Burglary,2018-03-03 0:00:00,279-299 W 22ND ST,40.8320409,-73.4372877
162,Burglary,2018-03-03 0:00:00,51-55 SIMONSON ST,40.7359339,-73.8810662
163,Burglary,2018-03-03 0:00:00,200 BLOCK OF AINSLIE ST,40.7127485,-73.9464218
164,Burglary,2018-03-02 0:00:00,100 BLOCK OF W 21ST ST,39.8628509,-75.3684762
165,Burglary,2018-03-02 0:00:00,,,
166,Burglary,2018-03-02 0:00:00,22-1 42ND ST,40.771834,-73.9046146
167,Burglary,2018-03-02 0:00:00,22-1 42ND ST,40.771834,-73.9046146
168,Burglary,2018-03-02 0:00:00,400 BLOCK OF WILSON AVE,,
169,Burglary,2018-03-02 0:00:00,253-255 LEXINGTON AVE,,
170,Burglary,2018-03-02 0:00:00,00 BLOCK OF MESEROLE ST,40.708678,-73.93698
171,Burglary,2018-03-02 0:00:00,400 BLOCK OF E 176TH ST,41.4482129,-81.5559811
172,Burglary,2018-03-02 0:00:00,800 BLOCK OF 9TH AVE,,
173,Burglary,2018-03-02 0:00:00,300 BLOCK OF E 67TH ST,40.7654102,-73.960462
174,Burglary,2018-03-02 0:00:00,100 BLOCK OF W 39TH ST,40.7528622,-73.9859626
175,Burglary,2018-03-02 0:00:00,191-99 46TH AVE,40.7536435,-73.7889869
176,Burglary,2018-03-02 0:00:00,,,
177,Burglary,2018-03-02 0:00:00,42-98 157TH ST,40.7592309,-73.809157
178,Burglary,2018-03-02 0:00:00,253-255 LEXINGTON AVE,,
179,Burglary,2018-03-02 0:00:00,100 BLOCK OF W 16TH ST,40.360051,-94.8731639
180,Burglary,2018-03-02 0:00:00,,,
181,Burglary,2018-03-02 0:00:00,200 BLOCK OF ONDERDONK AVE,40.71029,-73.917883
182,Burglary,2018-03-02 0:00:00,,,
183,Burglary,2018-03-02 0:00:00,500 BLOCK OF ACADEMY ST,,
184,Burglary,2018-03-02 0:00:00,227-98 116TH AVE,,
185,Burglary,2018-03-02 0:00:00,3100-3104 FARRAGUT RD,40.6363357,-73.9470369
186,Burglary,2018-03-02 0:00:00,700 BLOCK OF E 185TH ST,41.5885632,-81.5501634
187,Burglary,2018-03-02 0:00:00,8500 BLOCK OF 16TH AVE,,
188,Burglary,2018-03-02 0:00:00,,,
189,Burglary,2018-03-02 0:00:00,,,
190,Burglary,2018-03-02 0:00:00,,,
191,Burglary,2018-03-02 0:00:00,300 BLOCK OF E 81ST ST,40.7744366,-73.9538688
192,Burglary,2018-03-02 0:00:00,300 BLOCK OF W 109TH ST,40.8036699,-73.9677081
193,Burglary,2018-03-02 0:00:00,72-98 71ST PL,40.7020733,-73.8793721
194,Burglary,2018-03-02 0:00:00,1400 BLOCK OF BRONX RIVER AVE,40.8337044,-73.8794473
195,Burglary,2018-03-02 0:00:00,,,
196,Burglary,2018-03-02 0:00:00,2614-2634 W 36TH ST,41.5573264,-90.6140327
197,Burglary,2018-03-02 0:00:00,400 BLOCK OF E 28TH ST,39.3223769,-76.6109779
198,Burglary,2018-03-16 0:00:00,00 BLOCK OF DOSCHER ST,40.6752716,-73.8726607
199,Burglary,2018-03-16 0:00:00,1004-1012 3RD AVE,40.7620697,-73.9662019
200,Burglary,2018-03-16 0:00:00,9600 BLOCK OF AVENUE B,29.4457322,-98.4767889
201,Burglary,2018-03-16 0:00:00,1431-1449 FULTON AVE,40.6802009,-73.9439911
202,Burglary,2018-03-16 0:00:00,600 BLOCK OF W 137TH ST,40.8214454,-73.9542507
203,Burglary,2018-03-16 0:00:00,27-0 150TH ST,40.7798687,-73.8143954
204,Burglary,2018-03-16 0:00:00,113-0 86TH AVE,40.695782,-73.8502275
205,Burglary,2018-03-16 0:00:00,279-299 DR MARTIN LUTHER KING JR BLVD,32.7695151,-96.7658663
206,Burglary,2018-03-16 0:00:00,2100 BLOCK OF NEW YORK AVE,38.9176914,-76.9742973
207,Burglary,2018-03-16 0:00:00,2100 BLOCK OF FREDERICK DOUGLASS BLVD,40.8028497,-73.9562491
208,Burglary,2018-03-16 0:00:00,400 BLOCK OF E 173RD ST,40.8429975,-73.9035236
209,Burglary,2018-03-16 0:00:00,175-30 50TH AVE,40.744319,-73.79332
210,Burglary,2018-03-16 0:00:00,600 BLOCK OF E 96TH ST,40.6536314,-73.9135359
211,Burglary,2018-03-16 0:00:00,1004-1012 3RD AVE,40.7620697,-73.9662019
212,Burglary,2018-03-16 0:00:00,,,
213,Burglary,2018-03-16 0:00:00,200 BLOCK OF TOMPKINS AVE,40.6922296,-73.9458631
214,Burglary,2018-03-16 0:00:00,6419-6499 15TH AVE,47.675503,-122.3766798
215,Burglary,2018-03-16 0:00:00,700 BLOCK OF OCEAN AVE,40.6457081,-73.960684
216,Burglary,2018-03-16 0:00:00,,,
217,Burglary,2018-03-16 0:00:00,500 BLOCK OF ST NICHOLAS AVE,40.8169115,-73.9481136
218,Burglary,2018-03-16 0:00:00,,,
219,Burglary,2018-03-16 0:00:00,3500 BLOCK OF US-1,26.170142,-80.1186123
220,Burglary,2018-03-16 0:00:00,300 BLOCK OF POWELL ST,49.282881,-123.0974085
221,Burglary,2018-03-16 0:00:00,100 BLOCK OF COURT ST,44.9204868,-123.3167096
222,Burglary,2018-03-16 0:00:00,7400 BLOCK OF 3RD AVE,40.7996084,-74.0110768
223,Burglary,2018-03-16 0:00:00,10100 BLOCK OF AVENUE J,40.6287758,-73.9181932
224,Burglary,2018-03-15 0:00:00,200 BLOCK OF W 231ST ST,40.8789273,-73.9050979
225,Burglary,2018-03-15 0:00:00,1600 BLOCK OF ANTHONY AVE,40.8426896,-73.9049918
226,Burglary,2018-03-15 0:00:00,72-0 181ST ST,,
227,Burglary,2018-03-15 0:00:00,,,
228,Burglary,2018-03-15 0:00:00,00 BLOCK OF E 2ND ST,33.7616566,-118.1379421
229,Burglary,2018-03-15 0:00:00,91-11 191ST ST,40.7123426,-73.7683666
230,Burglary,2018-03-15 0:00:00,600 BLOCK OF WESTCHESTER AVE,40.8156943,-73.9109517
231,Burglary,2018-03-15 0:00:00,400 BLOCK OF 8TH AVE,40.7494116,-73.9950831
232,Burglary,2018-03-15 0:00:00,1100 BLOCK OF MORRIS AVE,40.7036027,-74.2926111
233,Burglary,2018-03-15 0:00:00,3368-3398 WHITE PLAINS RD,40.874862,-73.8666779
234,Burglary,2018-03-15 0:00:00,400 BLOCK OF W 14TH ST,40.740794,-74.005769
235,Burglary,2018-03-15 0:00:00,2100 BLOCK OF ALBEMARLE RD,35.2003269,-80.7737413
236,Burglary,2018-03-15 0:00:00,500 BLOCK OF MARCY AVE,40.698121,-73.950159
237,Burglary,2018-03-15 0:00:00,132-60 FARMERS BLVD,40.6778141,-73.7629934
238,Burglary,2018-03-15 0:00:00,2900 BLOCK OF WATERBURY AVE,40.8373073,-73.8308441
239,Burglary,2018-03-15 0:00:00,,,
240,Burglary,2018-03-15 0:00:00,8600 BLOCK OF 144TH ST,41.4314178,-81.5806709
241,Burglary,2018-03-15 0:00:00,,,
242,Burglary,2018-03-15 0:00:00,200 BLOCK OF NEW LOTS AVE,40.6593679,-73.8981445
243,Burglary,2018-03-14 0:00:00,,,
244,Burglary,2018-03-14 0:00:00,,,
245,Burglary,2018-03-14 0:00:00,132-8 POPLE AVE,40.7530398,-73.8322137
246,Burglary,2018-03-14 0:00:00,253-1-253-11 BRATTLE AVE,40.767942,-73.7298689
